role,source,provider,format,grain,vintage,url,notes
FAIR spine,Residential exposure (total insured value) by ZIP,California FAIR Plan,PDF,ZIP × fiscal year,FY2021–FY2025 (30 Sep 2025),https://www.cfpnet.com/key-statistics-data/,Core exposure series; parsed from the Plan's published key-statistics PDFs. Anchors the $645B FY2025 total (±1% control).
FAIR spine,Policies in force (PIF) by ZIP,California FAIR Plan,PDF,ZIP × fiscal year,FY2021–FY2025 (31 Mar 2026),https://www.cfpnet.com/key-statistics-data/,Policy counts; denominator side of penetration and the DIC gap.
FAIR spine,Policies & exposure by category (wildfire risk score + distressed flag),California FAIR Plan,PDF,ZIP × category,31 Mar 2026,https://www.cfpnet.com/key-statistics-data/,Source of the per-ZIP policy-weighted risk score (Low=1/Med=2/High=3) and the FAIR 'distressed area' flag.
FAIR spine,Written premium by category,California FAIR Plan,PDF,ZIP × category,31 Mar 2026,https://www.cfpnet.com/key-statistics-data/,Average-premium and premium-burden figures; residential written premium anchored to ~$1.79B (±1%).
Private market / funding,New / renewed / non-renewed policies + FAIR counts by ZIP,CA Dept. of Insurance,XLSX,ZIP × year,2020–2023,https://www.insurance.ca.gov/01-consumers/200-wrr/DataAnalysisOnWildfiresAndInsurance.cfm,Admitted-market denominator; total non-renewal rates; year-aligned penetration.
Private market / funding,Fact sheets: insurer- vs insured-initiated non-renewal split,CA Dept. of Insurance,PDF,ZIP × year,2015–2021,https://www.insurance.ca.gov/01-consumers/200-wrr/,The retreat signal. Split is not reported after 2021 (hence the series ends there).
Private market / funding,P&C market share — homeowners line,CDI / NAIC,XLSX,Insurer group × year,2016–2024,https://www.insurance.ca.gov/01-consumers/120-company/04-mrktshare/2024/,Homeowners direct written premium; the base for the $1B assessment allocation (statutory base year 2023).
Private market / funding,$1B assessment — Commissioner's Order 2025-1,CA Dept. of Insurance,PDF,Event,11 Feb 2025,https://www.insurance.ca.gov/0250-insurers/0500-legal-info/0700-commissioners-orders/,The assessment itself: $1B total; allocated by market share; ≤50% recoupable from policyholders.
Private market / funding,SB 824 moratorium bulletins (post-fire non-renewal freezes),CA Dept. of Insurance,PDF,Bulletin → ZIP-year,through Jan 2026,https://www.insurance.ca.gov/01-consumers/200-wrr/,Flags ZIP-years under a legal non-renewal freeze — explains dips in the retreat series.
Join engine,Median household income (ACS B19013),US Census Bureau,API,Census tract,ACS 2019–2023 5-yr,https://api.census.gov/data/2023/acs/acs5,Income variable driving every decile; household-weighted from tract to ZIP.
Join engine,Median home value (ACS B25077),US Census Bureau,API,Census tract,ACS 2019–2023 5-yr,https://api.census.gov/data/2023/acs/acs5,Owner-weighted to ZIP; premium proxy and value-decile input.
Join engine,Households & tenure (ACS B25003),US Census Bureau,API,Census tract,ACS 2019–2023 5-yr,https://api.census.gov/data/2023/acs/acs5,Occupied / owner-occupied units; the aggregation weights and penetration denominators.
Join engine,HUD–USPS TRACT→ZIP crosswalk (residential ratio),HUD PD&R,CSV,Tract → ZIP,2023 Q1,https://www.huduser.gov/portal/datasets/usps_crosswalk.html,Lifts tract-level ACS to ZIP grain; res_ratio weights. Vintage aligned to 2020 tracts and ACS 2023.
Robustness,Zillow Home Value Index (ZHVI),Zillow Research,CSV,ZIP,latest month,https://www.zillow.com/research/data/,Independent value cross-check (r = 0.89 vs ACS) — confirms the value rankings aren't a crosswalk artefact.
Robustness,Median year built (ACS B25035) + population (B01003),US Census Bureau,API,Census tract,ACS 2019–2023 5-yr,https://api.census.gov/data/2023/acs/acs5,Housing-vintage and density controls for the regression robustness ladder (Appendix B).
Robustness,National Risk Index — wildfire EAL & social vulnerability,FEMA,CSV,Census tract,NRI v1.20,https://www.fema.gov/about/openfema/data-sets/national-risk-index-data,DEFERRED — endpoint bot-blocked (403). Not used as a covariate; county fixed effects substitute.
Robustness,Fire Hazard Severity Zones (FHSZ),CAL FIRE / OSFM,Shapefile,Polygon,current,https://www.fire.ca.gov/what-we-do/fire-resource-assessment-program/gis-mapping-and-data-analytics,Optional independent hazard layer (Path B). Not built in the core pipeline; FAIR risk score is Path A.
Wildfire context,Annual acres/fires & structures destroyed,CAL FIRE (via Wikipedia season tables),CSV,Year,2000–2025,https://www.fire.ca.gov/,Context charts on page 1. 2016 = six major fires only; 2025 preliminary; verify latest year at fire.ca.gov.
Wildfire context,Top-20 largest / deadliest / most-destructive fires,CAL FIRE Top-20 lists,CSV,Fire,through 2025,https://www.fire.ca.gov/our-impact/statistics,Bubble and bar charts on page 1. Santiago Canyon (1889) predates reliable records.
Wildfire context,Live incident feed (current-year fires),CAL FIRE,CSV (live),Incident,snapshot,https://incidents.fire.ca.gov/imapdata/mapdataall.csv,'Season right now' tables. Tracked incidents only; counts not comparable across years (acreage is). Refresh with fetch_fire_feed.py.
Wildfire context,Costliest US wildfires by insured loss,Insurance Information Institute; inflation-adjusted by Aon,CSV,Fire,to Jan 2026,https://www.iii.org/,Pre-2025 losses in 2025 dollars; 2025 fires in current dollars. Maui (HI) filtered out of the California chart.
Supporting / context,Residential insurance policies by county (new / renewed / non-renewed),CA Dept. of Insurance,PDF,County × year,2015–2023,https://www.insurance.ca.gov/01-consumers/200-wrr/,County-level retreat aggregates behind the county map and county non-renewal rates; the county companion to the ZIP file.
Supporting / context,Residential dwelling units insured — FAIR Plan vs voluntary market,CA Dept. of Insurance,PDF,ZIP,2022,https://www.insurance.ca.gov/01-consumers/200-wrr/,Independent check on the FAIR share of the residential stock; context for the reliance and premium-vs-voluntary comparison (page 4).
Supporting / context,P&C market-share detail — dwelling-fire & BOP lines (participation by company),CDI / NAIC,XLSX,Insurer group × year,2024,https://www.insurance.ca.gov/01-consumers/120-company/04-mrktshare/2024/,Per-company dwelling-fire and business-owners-policy shares behind the participation-by-company and implied-assessment tables (page 6). Companion to the homeowners-line base.
Supporting / context,P&C market-share summary / Top-25 groups / preface,CDI / NAIC,PDF,Insurer group × year,2016–2024,https://www.insurance.ca.gov/01-consumers/120-company/04-mrktshare/,Market-concentration context and the methodology/definitions companion to the market-share workbooks used for the assessment base.
Supporting / context,CA earthquake residential exposure & premium study,CA Dept. of Insurance,PDF,Statewide × year,2001–2024,https://www.insurance.ca.gov/0400-news/0200-studies-reports/0300-earthquake-study/,CA insurance-market-size benchmark only — NOT wildfire and NOT in the panel. Included for corpus completeness.
Supporting / context,FAIR Plan policies & exposure by county (5-yr),California FAIR Plan,PDF,County × fiscal year,FY2021–FY2025,https://www.cfpnet.com/key-statistics-data/,County aggregates behind the county choropleth; a consistency cross-check on the ZIP totals.
Supporting / context,FAIR Plan commercial-line category / PIF / TIV files,California FAIR Plan,PDF,ZIP × category,FY2025 / Mar 2026,https://www.cfpnet.com/key-statistics-data/,Parsed but EXCLUDED — the incidence analysis is residential (dwelling-fire) only; commercial is out of scope.
Supporting / context,FAIR Plan wildfire-hardening discount schedule & reporting-period note,California FAIR Plan,PDF,Program,Nov 2025,https://www.cfpnet.com/key-statistics-data/,Mitigation-discount context; documents the 2025 fiscal reporting-period change that breaks strict year-over-year premium comparability.
Supporting / context,CDI Sustainable Insurance Strategy & wildfire-regulation corpus,CA Dept. of Insurance,PDF,Policy documents,2023–2025,https://www.insurance.ca.gov/01-consumers/200-wrr/,Regulatory context: SIS slides/fact sheet; distressed-county & undermarketed-ZIP commitment lists; catastrophe-modeling draft regulation; Safer-from-Wildfire FAQ. Background — not panel inputs.
Supporting / context,CDI FAIR Plan oversight & market-conduct documents,CA Dept. of Insurance,PDF,Legal / hearing,2022–2023,https://www.insurance.ca.gov/01-consumers/200-wrr/,Investigatory-hearing presentation; Stipulated Order 2023-2 + revised Plan of Operation; wildfire progress report; Availability & Affordability Appendix C. Institutional context for the assessment mechanism.
Supporting / context,LA County Assessor parcels with DINS damage tags,LA County / CAL FIRE DINS,CSV,Parcel,2025,https://gis.data.cnra.ca.gov/,Structure-level damage for the 2025 Palisades/Eaton burn ZIPs — the ~$4.1B FAIR loss that triggered the $1B assessment (case study — page 6).
